source_ino_city,source_ino_lat,source_ino_lon,source_ino_date,name,lat,lon,city,street,housenumber,postcode,competitor_created,distance_km
San Carlos,37.5129132,-122.2585755,2011-06-16,Erik's Delicafé,37.4904577,-122.2249937,Redwood City,Walnut Street,400c,94063,2011-07-09,3.874
Daly City,37.68821,-122.4720315,2011-07-20,Krispy Kreme,37.6887703,-122.4715985,,Sullivan Avenue,1575,,2011-07-20,0.073
Daly City,37.68821,-122.4720315,2011-07-20,Burger King,37.6770974,-122.4675637,Colma,Colma Boulevard,111,94014,2012-01-02,1.297
Daly City,37.68821,-122.4720315,2011-07-20,Panda Express,37.6990822,-122.4820329,Daly City,,701,94015,2011-07-22,1.495
Daly City,37.68821,-122.4720315,2011-07-20,Popeyes,37.6712453,-122.4643197,Colma,Serramonte Boulevard,990,94014-3260,2012-01-02,2.005
Daly City,37.68821,-122.4720315,2011-07-20,Chipotle,37.6711796,-122.4644054,Colma,Serramonte Boulevard,990,94014-3260,2012-01-02,2.009
Corona,33.8816816,-117.6135375,2011-10-11,Pizza Nora,33.9615176,-117.5588523,,Hamner Ave.,6987 #1,92880,2012-04-17,10.211
Corona,33.8816816,-117.6135375,2011-10-11,Jack in the Box,33.918494,-117.488555,Riverside,La Sierra Avenue,4860,92505,2011-11-01,12.24
Corona,33.8816816,-117.6135375,2011-10-11,Del Taco,33.9170028,-117.487488,,,,,2011-11-01,12.279
Corona,33.8816816,-117.6135375,2011-10-11,Little Caesars,33.9148958,-117.484869,,,,,2011-11-01,12.437
Corona,33.8816816,-117.6135375,2011-10-11,Domino's,33.9023077,-117.4772916,Riverside,Magnolia Avenue,11170,92505,2011-11-01,12.783
Roseville,38.7582613,-121.2595541,2011-11-24,Jack in the Box,38.7446727,-121.2552551,,,,,2011-11-24,1.556
Roseville,38.7582613,-121.2595541,2011-11-24,Del Taco,38.7445912,-121.2634976,,,1619,,2011-11-24,1.558
Roseville,38.7582613,-121.2595541,2011-11-24,Carl's Jr.,38.744556,-121.2645785,Roseville,Douglas Boulevard,1701,95661,2011-11-24,1.585
Roseville,38.7582613,-121.2595541,2011-11-24,McDonald's,38.7290566,-121.2725258,Roseville,Cirby Way,1190,95746,2011-11-24,3.437
Roseville,38.7582613,-121.2595541,2011-11-24,Wendy's,38.6788959,-121.2688763,Citrus Heights,Greenback Lane,7983,95610,2012-05-01,8.862
Laguna Hills,33.6133618,-117.7086348,2011-11-26,Original Tommy's,33.615002,-117.7052431,Lake Forest,Swartz Drive,24310,92630,2011-11-27,0.363
Laguna Hills,33.6133618,-117.7086348,2011-11-26,Jack in the Box,33.6164725,-117.7047295,Lake Forest,El Toro Road,23812,92630,2011-11-27,0.5
Laguna Hills,33.6133618,-117.7086348,2011-11-26,El Pollo Loco,33.6200103,-117.7018818,Lake Forest,El Toro Road,23601,92630,2011-11-27,0.968
Laguna Hills,33.6133618,-117.7086348,2011-11-26,Krispy Kreme,33.5857158,-117.6733234,Mission Viejo,El Paseo,25802,92691,2012-05-30,4.488
Laguna Hills,33.6133618,-117.7086348,2011-11-26,Jack in the Box,33.5850923,-117.673199,Mission Viejo,El Paseo,25852,92691,2012-05-30,4.544
Tustin,33.6949883,-117.8270941,2011-12-29,Chick-fil-A,33.6950179,-117.826473,Tustin,Park Avenue,2889,92782,2011-12-29,0.058
Tustin,33.6949883,-117.8270941,2011-12-29,Chipotle,33.6854525,-117.8111542,Irvine,Barranca Parkway,3966,92606,2012-04-08,1.816
Tustin,33.6949883,-117.8270941,2011-12-29,Surfer's Sunset Grill,33.6718739,-117.8350618,,,,,2012-08-26,2.674
Tustin,33.6949883,-117.8270941,2011-12-29,Taco Bell,33.6596831,-117.8611695,Newport Beach,Jamboree Road,4101,92660,2012-07-14,5.035
Tustin,33.6949883,-117.8270941,2011-12-29,The Habit Burger Grill,33.6487314,-117.8321091,Irvine,Campus Drive,4501,92612,2012-07-14,5.164
Torrance,33.8488503,-118.3531603,2012,L&L Hawaiian Barbecue,33.8061935,-118.3296468,,,,,2012-09-03,5.217
Torrance,33.8488503,-118.3531603,2012,Jamba,33.7748203,-118.3751955,Rolling Hills Estates,Silver Spur Road,435,90274,2012-07-27,8.48
Torrance,33.8488503,-118.3531603,2012,Subway,33.748689,-118.406977,Rancho Palos Verdes,Palos Verdes Drive,31204,90275,2012-01-18,12.197
Torrance,33.8488503,-118.3531603,2012,Yoshinoya,33.9602413,-118.377844,,,,,2012-08-19,12.594
Torrance,33.8488503,-118.3531603,2012,Classic Grill,33.9602858,-118.3784235,,West Manchester Avenue,5569,90045,2012-08-19,12.609
Santa Nella,37.1009831,-121.0145701,2012-01-26,Burger King,37.309386,-121.0192989,Newman,N Street,1955,95360,2012-07-11,23.177
Santa Nella,37.1009831,-121.0145701,2012-01-26,Papa Murphy's,36.8366478,-121.3897407,Hollister,Airline Highway,1740,95023,2012-06-13,44.439
Santa Nella,37.1009831,-121.0145701,2012-01-26,Carl's Jr.,37.595056,-120.9382586,Ceres,Mitchell Road,2420,95307-2837,2012-05-22,55.351
Santa Nella,37.1009831,-121.0145701,2012-01-26,Del Taco,37.5954575,-120.938261,,,,,2012-05-22,55.395
Santa Nella,37.1009831,-121.0145701,2012-01-26,Baja Fresh,37.6532538,-120.957856,Modesto,Oakdale Road,801,95355,2012-09-22,61.614
Orange,33.8319575,-117.835679,2012-07-10,Del Taco,33.8324617,-117.8358946,Orange,North Tustin Street,2607,92865,2012-07-10,0.059
Orange,33.8319575,-117.835679,2012-07-10,Chick-fil-A,33.8313075,-117.835205,Orange,North Tustin Street,2575,92865,2012-07-10,0.085
Orange,33.8319575,-117.835679,2012-07-10,Jack in the Box,33.8304298,-117.8367134,Orange,North Tustin Street,2500,92865,2012-07-10,0.195
Orange,33.8319575,-117.835679,2012-07-10,KFC,33.8294656,-117.8357428,Orange,North Tustin Street,2469,92865,2012-07-10,0.277
Orange,33.8319575,-117.835679,2012-07-10,McDonald's,33.8286551,-117.8356628,Orange,North Tustin Street,2401,92865,2012-07-10,0.367
Clovis,36.8369068,-119.7005714,2012-09-13,Burger King,36.836901,-119.6995646,Clovis,Herndon Avenue,820,93612-0489,2012-09-13,0.09
Clovis,36.8369068,-119.7005714,2012-09-13,Taco Bell,36.8359923,-119.6995456,Clovis,Herndon Avenue,830,93612,2012-09-13,0.137
Clovis,36.8369068,-119.7005714,2012-09-13,Jack in the Box,36.8370916,-119.6845302,Clovis,Herndon Avenue,1680,93611,2013-06-12,1.428
Clovis,36.8369068,-119.7005714,2012-09-13,Sonic,36.8380625,-119.6812209,Clovis,Herndon Avenue,1855,93611,2013-06-12,1.727
Clovis,36.8369068,-119.7005714,2012-09-13,Jack in the Box,36.74288,-119.771946,Fresno,East Tulare Street,3110,93702,2012-09-17,12.236
Anaheim,33.8385765,-117.9412639,2012-11-02,Jollibee,33.8403331,-117.9421217,,,,,2012-11-02,0.211
Anaheim,33.8385765,-117.9412639,2012-11-02,Wendy's,33.841194,-117.9413004,Anaheim,North Euclid Avenue,680,92801,2012-11-02,0.291
Anaheim,33.8385765,-117.9412639,2012-11-02,McDonald's,33.84271,-117.941204,Anaheim,North Euclid Street,740,92801-4115,2012-11-02,0.46
Anaheim,33.8385765,-117.9412639,2012-11-02,Unknown,33.8469247,-117.926308,,,,,2013-07-04,1.664
Anaheim,33.8385765,-117.9412639,2012-11-02,Del Taco,33.8467294,-117.9241436,Anaheim,North Harbor Street,955,92805,2013-07-04,1.823
Santee,32.8390346,-116.9939069,2012-11-28,Cazadores Mexican Food,32.8374612,-116.994394,Santee,Mission Gorge Road,9331,92071,2013-05-07,0.181
Santee,32.8390346,-116.9939069,2012-11-28,Dairy Queen,32.8400645,-116.989131,Santee,Town Center Parkway,70,92071,2013-03-23,0.461
Santee,32.8390346,-116.9939069,2012-11-28,KFC,32.8381964,-116.984159,Santee,Cuyamaca Street,8890,92071,2013-06-15,0.915
Santee,32.8390346,-116.9939069,2012-11-28,Chipotle,32.840992,-116.9813398,Santee,Mission Gorge Road,9828,92071,2013-06-15,1.194
Santee,32.8390346,-116.9939069,2012-11-28,Jamba,32.8410479,-116.981274,Santee,Mission Gorge Road,9828,92071,2013-06-15,1.201
Sacramento,38.6553873,-121.525903,2012-12-03,Taco Bell,38.654643,-121.526989,Sacramento,Advantage Way,2921,95834,2012-12-03,0.125
Sacramento,38.6553873,-121.525903,2012-12-03,Wienerschnitzel,38.6546034,-121.5282273,,,,,2012-12-27,0.22
Sacramento,38.6553873,-121.525903,2012-12-03,Carl's Jr.,38.6564244,-121.509741,Sacramento,Del Paso Road,2241,95835,2012-12-24,1.408
Sacramento,38.6553873,-121.525903,2012-12-03,Yogurt Garden,38.6418727,-121.532807,Sacramento,Arena Boulevard,,95834,2012-12-05,1.618
Sacramento,38.6553873,-121.525903,2012-12-03,Mandarin Express,38.6418509,-121.53288,Sacramento,Arena Boulevard,3230,95834,2012-12-05,1.623
Huntington Beach,33.7003858,-117.988592,2013-10-05,Subway,33.7439964,-118.1021901,Seal Beach,Pacific Coast Highway,914,90740,2013-10-12,11.571
Huntington Beach,33.7003858,-117.988592,2013-10-05,McDonald's,33.8150422,-118.0287316,Cypress,Valley View Road,10115,90630-4602,2014-07-04,13.278
Huntington Beach,33.7003858,-117.988592,2013-10-05,Dining Room,33.788463,-117.888522,,,,,2014-06-25,13.473
Huntington Beach,33.7003858,-117.988592,2013-10-05,Bengal Barbecue,33.8115724,-117.9203186,Anaheim,,,,2014-02-18,13.881
Huntington Beach,33.7003858,-117.988592,2013-10-05,Del Taco,33.8247503,-118.0287283,,,,,2014-07-04,14.318
Novato,38.0893983,-122.5547212,2013-11-14,Jack in the Box,38.1012803,-122.5695903,Novato,Redwood Boulevard,7135,94945,2013-12-17,1.854
Novato,38.0893983,-122.5547212,2013-11-14,Quan Brothers Market,38.0008802,-122.461478,,,,,2014-03-09,12.789
Novato,38.0893983,-122.5547212,2013-11-14,Jack in the Box,38.2436407,-122.6314258,Petaluma,East Washington Street,837,94952,2014-04-05,18.415
Novato,38.0893983,-122.5547212,2013-11-14,El Coyote,38.282661,-122.459523,,,,,2014-05-14,23.044
Novato,38.0893983,-122.5547212,2013-11-14,Jack in the Box,38.2933508,-122.4704305,Sonoma,West Napa Street,602,95476,2014-05-22,23.845
Hanford,36.3212857,-119.6735995,2013-12-19,Cisneros Taqueria #2,36.3136543,-119.6453038,,,,,2014-06-16,2.673
Hanford,36.3212857,-119.6735995,2013-12-19,Quiznos,36.3293726,-119.290999,,,,,2014-05-28,34.287
Hanford,36.3212857,-119.6735995,2013-12-19,Subway,36.3414719,-119.2782371,Visalia,East Houston,1301,93292,2014-05-28,35.487
Hanford,36.3212857,-119.6735995,2013-12-19,McDonald's,36.3258429,-119.2100961,Farmersville,West Noble Road,430,93223,2014-05-28,41.527
Hanford,36.3212857,-119.6735995,2013-12-19,Panda Express,36.707051,-119.5740124,Sanger,Jensen Avenue,2590,93657,2014-01-15,43.809
Turlock,37.5204744,-120.8817351,2014-05-11,Chipotle,37.5206975,-120.8809484,Turlock,Countryside Drive,3090,95380,2014-06-15,0.074
Turlock,37.5204744,-120.8817351,2014-05-11,Quiznos,37.5214798,-120.8803885,Turlock,West Monte Vista Avenue,2868,95380,2014-11-11,0.163
Turlock,37.5204744,-120.8817351,2014-05-11,El Pollo Loco,37.5195909,-120.8801935,Turlock,Countryside Drive,2900,95380,2014-05-11,0.168
Turlock,37.5204744,-120.8817351,2014-05-11,Sonic,37.5215075,-120.8870421,Turlock,West Monte Vista,3400,95380,2014-05-11,0.482
Turlock,37.5204744,-120.8817351,2014-05-11,Wendy's,37.5215127,-120.8888594,Turlock,West Monte Vista Avenue,3450,95380,2014-05-11,0.639
Norco,33.9085328,-117.5616904,2014-05-17,Burger King,33.9091929,-117.5598394,Norco,Second Street,1666,92860-2920,2014-05-17,0.186
Norco,33.9085328,-117.5616904,2014-05-17,Chipotle,33.9026317,-117.561859,Norco,Hamner Avenue,1409,92860,2014-06-09,0.656
Norco,33.9085328,-117.5616904,2014-05-17,Popeyes,33.9006496,-117.5620776,Norco,Hamner Avenue,1325,92860,2014-06-09,0.877
